10 11.435 1.700  1.679 11.551 2.089 1.785
20  7.186 1.812  1.664  7.259 1.956 1.765
40 10.594 1.832  1.579 10.639 2.048 1.724
60 14.134 1.666  1.687 14.251 2.780 1.712
80 16.166 1.430  1.414 16.139 1.710 1.594
85 10.022 1.441  1.356  9.992 1.719 1.389
